Year,Carbohydrate,Fiber,Protein,Fat,Saturated Fatty Acids,Monounsaturated Fatty Acids,Polyunsaturated Fatty Acids,Cholesterol
1909,1,1,1,1,1,1,1,1
1910,0.997995992,1,0.98019802,0.983193277,0.98,0.977777778,0.923076923,1
1911,0.985971944,0.965517241,0.97029703,0.991596639,0.98,1,0.923076923,1.045454545
1912,0.987975952,0.965517241,0.97029703,0.966386555,0.96,0.977777778,0.923076923,1
1913,0.985971944,0.965517241,0.96039604,0.974789916,0.96,0.977777778,0.923076923,0.977272727
1914,0.973947896,0.931034483,0.940594059,0.991596639,0.96,1,1,0.977272727
1915,0.967935872,0.965517241,0.930693069,0.983193277,0.96,1,1,0.977272727
1916,0.947895792,0.931034483,0.920792079,0.983193277,0.96,1,1,0.977272727
1917,0.945891784,0.965517241,0.910891089,0.949579832,0.92,0.977777778,0.923076923,0.931818182
1918,0.937875752,0.931034483,0.930693069,1.016806723,0.98,1.044444444,1.076923077,0.954545455
1919,0.961923848,0.931034483,0.920792079,1.008403361,0.98,1.044444444,1.076923077,0.977272727
1920,0.921843687,0.896551724,0.900990099,0.966386555,0.96,0.977777778,1,0.977272727
1921,0.891783567,0.862068966,0.871287129,0.957983193,0.96,0.933333333,1,0.977272727
1922,0.971943888,0.896551724,0.910891089,1.016806723,1.02,1,1.076923077,1.022727273
1923,0.9498998,0.931034483,0.930693069,1.067226891,1.06,1.066666667,1.076923077,1.068181818
1924,0.965931864,0.896551724,0.930693069,1.075630252,1.08,1.066666667,1.076923077,1.068181818
1925,0.967935872,0.896551724,0.920792079,1.084033613,1.08,1.088888889,1.153846154,1.068181818
1926,0.977955912,0.896551724,0.920792079,1.084033613,1.08,1.066666667,1.153846154,1.090909091
1927,0.97995992,0.896551724,0.930693069,1.084033613,1.08,1.088888889,1.153846154,1.090909091
1928,0.98997996,0.896551724,0.920792079,1.084033613,1.08,1.088888889,1.153846154,1.068181818
1929,0.96993988,0.931034483,0.920792079,1.100840336,1.1,1.088888889,1.153846154,1.068181818
1930,0.971943888,0.896551724,0.900990099,1.084033613,1.08,1.066666667,1.153846154,1.045454545
1931,0.943887776,0.896551724,0.900990099,1.084033613,1.08,1.066666667,1.153846154,1.045454545
1932,0.915831663,0.862068966,0.891089109,1.058823529,1.06,1.044444444,1.076923077,1.022727273
1933,0.893787575,0.862068966,0.881188119,1.058823529,1.08,1.044444444,1.153846154,1.022727273
1934,0.877755511,0.862068966,0.881188119,1.084033613,1.08,1.066666667,1.153846154,1.022727273
1935,0.889779559,0.896551724,0.851485149,1.025210084,1.04,1.022222222,1.076923077,0.954545455
1936,0.895791583,0.896551724,0.891089109,1.084033613,1.08,1.088888889,1.153846154,1
1937,0.883767535,0.862068966,0.881188119,1.075630252,1.06,1.066666667,1.153846154,1
1938,0.883767535,0.862068966,0.881188119,1.075630252,1.06,1.066666667,1.153846154,1
1939,0.899799599,0.896551724,0.900990099,1.117647059,1.12,1.111111111,1.230769231,1.045454545
1940,0.879759519,0.862068966,0.910891089,1.142857143,1.14,1.133333333,1.230769231,1.068181818
1941,0.911823647,0.862068966,0.930693069,1.168067227,1.16,1.155555556,1.307692308,1.068181818
1942,0.877755511,0.896551724,0.97029703,1.159663866,1.14,1.155555556,1.384615385,1.113636364
1943,0.885771543,0.896551724,1.00990099,1.168067227,1.1,1.177777778,1.384615385,1.136363636
1944,0.883767535,0.896551724,1.00990099,1.176470588,1.12,1.2,1.384615385,1.159090909
1945,0.867735471,0.896551724,1.03960396,1.151260504,1.1,1.155555556,1.384615385,1.204545455
1946,0.855711423,0.862068966,1.01980198,1.159663866,1.1,1.177777778,1.307692308,1.181818182
1947,0.869739479,0.793103448,0.97029703,1.159663866,1.12,1.177777778,1.307692308,1.181818182
1948,0.827655311,0.75862069,0.930693069,1.134453782,1.08,1.155555556,1.307692308,1.159090909
1949,0.829659319,0.75862069,0.930693069,1.12605042,1.08,1.133333333,1.384615385,1.159090909
1950,0.833667335,0.75862069,0.930693069,1.168067227,1.1,1.177777778,1.384615385,1.159090909
1951,0.811623246,0.724137931,0.920792079,1.12605042,1.06,1.133333333,1.384615385,1.159090909
