Year,Carbohydrate,Fiber,Protein,Fat,Saturated Fatty Acids,Monounsaturated Fatty Acids,Polyunsaturated Fatty Acids,Cholesterol
1/1/09,1,1,1,1,1,1,1,1
1/1/10,0.997995992,1,0.98019802,0.983193277,0.98,0.977777778,0.923076923,1
1/1/11,0.985971944,0.965517241,0.97029703,0.991596639,0.98,1,0.923076923,1.045454545
1/1/12,0.987975952,0.965517241,0.97029703,0.966386555,0.96,0.977777778,0.923076923,1
1/1/13,0.985971944,0.965517241,0.96039604,0.974789916,0.96,0.977777778,0.923076923,0.977272727
1/1/14,0.973947896,0.931034483,0.940594059,0.991596639,0.96,1,1,0.977272727
1/1/15,0.967935872,0.965517241,0.930693069,0.983193277,0.96,1,1,0.977272727
1/1/16,0.947895792,0.931034483,0.920792079,0.983193277,0.96,1,1,0.977272727
1/1/17,0.945891784,0.965517241,0.910891089,0.949579832,0.92,0.977777778,0.923076923,0.931818182
1/1/18,0.937875752,0.931034483,0.930693069,1.016806723,0.98,1.044444444,1.076923077,0.954545455
1/1/19,0.961923848,0.931034483,0.920792079,1.008403361,0.98,1.044444444,1.076923077,0.977272727
1/1/20,0.921843687,0.896551724,0.900990099,0.966386555,0.96,0.977777778,1,0.977272727
1/1/21,0.891783567,0.862068966,0.871287129,0.957983193,0.96,0.933333333,1,0.977272727
1/1/22,0.971943888,0.896551724,0.910891089,1.016806723,1.02,1,1.076923077,1.022727273
1/1/23,0.9498998,0.931034483,0.930693069,1.067226891,1.06,1.066666667,1.076923077,1.068181818
1/1/24,0.965931864,0.896551724,0.930693069,1.075630252,1.08,1.066666667,1.076923077,1.068181818
1/1/25,0.967935872,0.896551724,0.920792079,1.084033613,1.08,1.088888889,1.153846154,1.068181818
1/1/26,0.977955912,0.896551724,0.920792079,1.084033613,1.08,1.066666667,1.153846154,1.090909091
1/1/27,0.97995992,0.896551724,0.930693069,1.084033613,1.08,1.088888889,1.153846154,1.090909091
1/1/28,0.98997996,0.896551724,0.920792079,1.084033613,1.08,1.088888889,1.153846154,1.068181818
1/1/29,0.96993988,0.931034483,0.920792079,1.100840336,1.1,1.088888889,1.153846154,1.068181818
1/1/30,0.971943888,0.896551724,0.900990099,1.084033613,1.08,1.066666667,1.153846154,1.045454545
1/1/31,0.943887776,0.896551724,0.900990099,1.084033613,1.08,1.066666667,1.153846154,1.045454545
1/1/32,0.915831663,0.862068966,0.891089109,1.058823529,1.06,1.044444444,1.076923077,1.022727273
1/1/33,0.893787575,0.862068966,0.881188119,1.058823529,1.08,1.044444444,1.153846154,1.022727273
1/1/34,0.877755511,0.862068966,0.881188119,1.084033613,1.08,1.066666667,1.153846154,1.022727273
1/1/35,0.889779559,0.896551724,0.851485149,1.025210084,1.04,1.022222222,1.076923077,0.954545455
1/1/36,0.895791583,0.896551724,0.891089109,1.084033613,1.08,1.088888889,1.153846154,1
1/1/37,0.883767535,0.862068966,0.881188119,1.075630252,1.06,1.066666667,1.153846154,1
1/1/38,0.883767535,0.862068966,0.881188119,1.075630252,1.06,1.066666667,1.153846154,1
1/1/39,0.899799599,0.896551724,0.900990099,1.117647059,1.12,1.111111111,1.230769231,1.045454545
1/1/40,0.879759519,0.862068966,0.910891089,1.142857143,1.14,1.133333333,1.230769231,1.068181818
1/1/41,0.911823647,0.862068966,0.930693069,1.168067227,1.16,1.155555556,1.307692308,1.068181818
1/1/42,0.877755511,0.896551724,0.97029703,1.159663866,1.14,1.155555556,1.384615385,1.113636364
1/1/43,0.885771543,0.896551724,1.00990099,1.168067227,1.1,1.177777778,1.384615385,1.136363636
1/1/44,0.883767535,0.896551724,1.00990099,1.176470588,1.12,1.2,1.384615385,1.159090909
1/1/45,0.867735471,0.896551724,1.03960396,1.151260504,1.1,1.155555556,1.384615385,1.204545455
1/1/46,0.855711423,0.862068966,1.01980198,1.159663866,1.1,1.177777778,1.307692308,1.181818182
1/1/47,0.869739479,0.793103448,0.97029703,1.159663866,1.12,1.177777778,1.307692308,1.181818182
1/1/48,0.827655311,0.75862069,0.930693069,1.134453782,1.08,1.155555556,1.307692308,1.159090909
1/1/49,0.829659319,0.75862069,0.930693069,1.12605042,1.08,1.133333333,1.384615385,1.159090909
1/1/50,0.833667335,0.75862069,0.930693069,1.168067227,1.1,1.177777778,1.384615385,1.159090909
1/1/51,0.811623246,0.724137931,0.920792079,1.12605042,1.06,1.133333333,1.384615385,1.159090909
1/1/52,0.80761523,0.724137931,0.930693069,1.151260504,1.08,1.177777778,1.384615385,1.159090909
1/1/53,0.799599198,0.689655172,0.930693069,1.142857143,1.08,1.177777778,1.384615385,1.159090909
1/1/54,0.781563126,0.689655172,0.920792079,1.142857143,1.06,1.177777778,1.384615385,1.136363636
1/1/55,0.781563126,0.689655172,0.920792079,1.176470588,1.1,1.2,1.461538462,1.136363636
1/1/56,0.781563126,0.689655172,0.940594059,1.18487395,1.1,1.2,1.461538462,1.159090909
1/1/57,0.769539078,0.689655172,0.920792079,1.151260504,1.08,1.155555556,1.461538462,1.113636364
1/1/58,0.775551102,0.655172414,0.910891089,1.142857143,1.06,1.177777778,1.461538462,1.090909091
1/1/59,0.775551102,0.689655172,0.920792079,1.176470588,1.08,1.222222222,1.538461538,1.113636364
1/1/60,0.77755511,0.655172414,0.910891089,1.159663866,1.06,1.177777778,1.538461538,1.068181818
