Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mexico,5421.35,5833.16,5943.94,6162.78,7023.47,7993.06,9106.58,10274.33,11138.89,11801.13,12210.89,14427.91,16813.52,17393.77,18701.49,20592.87,22445.84,24339.62,26200.29
Canada,9001.47,9853.47,10991.86,11558.52,11607.16,12732.87,13665.95,14794.69,16410.80,18997.64,15699.40,17375.62,19799.14,20541.20,21927.56,23249.53,22433.96,22609.80,23541.00
China,979.09,1119.94,1232.51,1589.97,2111.37,2463.85,2850.40,3660.15,4283.90,4910.53,4203.00,4854.15,5581.77,5937.23,6006.88,6019.96,5896.35,5866.20,6159.66
France(*),1980.75,1866.77,1836.68,2109.05,2492.31,2578.55,2797.49,3164.83,3588.59,3569.45,2893.29,3146.86,3649.95,3913.60,4100.96,4274.72,4411.59,4775.57,5100.31
Italy(*),1450.66,1571.45,1586.88,1825.64,2128.34,2346.27,2641.07,2862.24,3096.69,3286.21,2939.86,3041.13,3501.14,3618.12,3868.23,4132.19,4184.19,4365.81,4586.35
Chile,1180.41,1388.21,1375.58,1547.49,1757.14,1909.24,2157.74,2576.63,2684.74,2846.24,2683.85,2678.41,3030.95,3127.19,3819.41,4118.73,4068.01,4531.87,4582.44
India,944.97,988.33,868.26,964.44,1032.81,1138.31,1136.79,1200.50,1194.81,1511.62,1266.76,1685.06,3001.46,5710.91,4307.28,4332.34,3735.54,3363.71,4468.31
Indonesia,959.89,923.03,868.11,912.82,1045.31,1246.12,1449.81,1555.09,1633.74,2155.92,1928.24,2131.80,2500.54,2490.24,2790.49,3565.07,3508.01,3623.21,4320.06
Vietnam,293.26,493.86,627.20,795.66,964.78,923.89,1027.85,1116.32,1317.87,1474.94,1368.63,1771.55,2265.74,2410.93,2750.44,3344.71,3106.70,3484.40,3696.31
Ireland,339.11,320.95,287.17,333.71,1295.11,2008.20,2449.61,2506.70,2469.24,2573.70,2252.66,2322.91,2408.16,2465.90,2717.29,2840.81,3264.27,3188.91,3353.32
Thailand,2023.43,2252.98,2050.77,1818.76,2009.68,2021.42,2207.11,2614.87,2673.60,3100.68,3138.14,3539.95,3918.96,3526.75,3277.89,3174.50,3130.44,3178.76,3226.92
Australia(*),1169.65,1477.09,1710.73,1871.83,2082.21,2442.53,2394.39,2441.19,2597.27,2317.84,2230.70,2222.77,2250.99,2554.61,2616.70,3742.35,4143.41,3063.51,3123.06
Brazil,1304.88,1063.69,901.28,1015.34,1381.48,1449.52,1764.69,1966.13,2317.49,2244.37,2029.44,2487.33,3668.69,2990.81,2910.21,3503.78,3097.80,2884.10,2935.89
United Kingdom,1152.92,1157.14,1103.20,1175.00,1230.07,1351.23,1364.26,1439.99,1568.09,1596.94,1574.66,1736.51,1881.57,2039.58,2183.94,2278.27,2291.41,2426.05,2512.54
New Zealand(*),866.67,960.68,1070.64,1125.10,1188.84,1475.35,1517.97,1469.25,1453.31,1511.10,1362.59,1495.14,1688.11,1865.32,1854.69,2222.29,2508.07,2315.78,2315.13
Peru,251.27,218.02,223.49,263.33,308.97,392.59,494.23,647.42,757.25,900.67,906.84,1092.89,1504.12,1450.59,1534.40,1915.58,1937.71,2058.90,2217.53
Spain,758.26,720.96,691.50,775.56,903.39,944.66,1030.94,1113.49,1190.01,1213.69,1088.78,1249.88,1330.39,1428.67,1471.78,1786.78,1809.56,2019.88,2191.79
