Macronutrient,MacronutrientCode,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Carbohydrate,CARB,499,498,492,493,492,486,483,473,472,468,480,460,445,485,474,482,483,488,489,494,484,485,471,457,446,438,444,447,441,441,449,439,455,438,442,441,433,427,434,413,414,416,405,403,399,390,390,390,384,387,387,388,387,387,386,385,385,388,391,394,397,401,401,395,401,395,395,409,418,405,406,408,416,413,409,416,432,436,448,454,452,468,470,473,483,490,490,500,503,504,506,505,500,495,492,491,488,485,480,478,471,474
Fiber,FIB,29,29,28,28,28,27,28,27,28,27,27,26,25,26,27,26,26,26,26,26,27,26,26,25,25,25,26,26,25,25,26,25,25,26,26,26,26,25,23,22,22,22,21,21,20,20,20,20,20,19,20,19,19,19,19,18,18,19,19,19,19,19,19,19,20,19,20,20,22,20,20,20,22,22,21,21,22,22,22,23,23,24,24,24,24,24,24,25,25,24,25,25,24,24,24,25,25,25,24,24,24,25
Protein,PRO,101,99,98,98,97,95,94,93,92,94,93,91,88,92,94,94,93,93,94,93,93,91,91,90,89,89,86,90,89,89,91,92,94,98,102,102,105,103,98,94,94,94,93,94,94,93,93,95,93,92,93,92,93,92,93,94,93,94,95,96,96,98,99,98,96,97,111,116,117,113,112,111,113,113,113,114,117,118,117,118,117,118,119,120,120,122,121,122,121,122,124,124,122,123,124,125,123,124,123,121,120,120
Fat,FAT,119,117,118,115,116,118,117,117,113,121,120,115,114,121,127,128,129,129,129,129,131,129,129,126,126,129,122,129,128,128,133,136,139,138,139,140,137,138,138,135,134,139,134,137,136,136,140,141,137,136,140,138,138,139,140,143,142,145,146,150,149,147,147,148,144,146,160,166,163,163,162,162,162,162,166,170,176,177,174,175,169,167,164,168,172,170,168,166,165,167,173,191,192,199,202,202,194,196,196,194,185,190
Saturated Fatty Acids,SFAT,50,49,49,48,48,48,48,48,46,49,49,48,48,51,53,54,54,54,54,54,55,54,54,53,54,54,52,54,53,53,56,57,58,57,55,56,55,55,56,54,54,55,53,54,54,53,55,55,54,53,54,53,53,53,53,54,53,54,55,55,55,52,52,52,50,50,56,58,57,56,56,56,56,55,57,59,61,61,59,59,57,56,55,56,57,56,56,55,54,56,58,62,61,63,64,64,61,62,61,60,57,59
Monounsaturated Fatty Acids,MFAT,45,44,45,44,44,45,45,45,44,47,47,44,42,45,48,48,49,48,49,49,49,48,48,47,47,48,46,49,48,48,50,51,52,52,53,54,52,53,53,52,51,53,51,53,53,53,54,54,52,53,55,53,53,53,54,55,54,56,56,58,58,58,58,58,57,57,63,67,65,65,65,65,65,65,66,69,71,71,70,71,68,68,69,70,73,73,71,71,70,71,73,83,84,87,88,88,84,83,82,80,75,77
Polyunsaturated Fatty Acids,PFAT,13,12,12,12,12,13,13,13,12,14,14,13,13,14,14,14,15,15,15,15,15,15,15,14,15,15,14,15,15,15,16,16,17,18,18,18,18,17,17,17,18,18,18,18,18,18,19,19,19,19,20,20,20,20,22,22,22,23,23,24,24,25,25,26,27,27,27,29,29,29,29,29,30,30,31,31,32,32,32,33,32,32,32,32,33,32,32,31,32,32,33,37,38,40,40,40,40,41,43,45,42,44
Cholesterol,CHOL,440,440,460,440,430,430,430,430,410,420,430,430,430,450,470,470,470,480,480,470,470,460,460,450,450,450,420,440,440,440,460,470,470,490,500,510,530,520,520,510,510,510,510,510,510,500,500,510,490,480,490,470,470,470,470,470,460,460,470,470,470,470,470,460,440,440,490,500,500,490,490,490,480,480,480,490,490,490,480,470,460,460,450,460,450,460,460,460,450,460,480,470,470,480,480,490,470,480,470,470,460,460
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
